--------------------LISTA v3 (Repeticiones)-------------------
Cantidad de Comparaciones SelDir: 136503
Palabra:   || Repeticiones: 986 || Binary code: 0000000000
Palabra: , || Repeticiones: 76 || Binary code: 0000000001
Palabra: . || Repeticiones: 65 || Binary code: 0000000010
Palabra: de || Repeticiones: 52 || Binary code: 0000000011
Palabra: y || Repeticiones: 41 || Binary code: 0000000100
Palabra: el || Repeticiones: 39 || Binary code: 0000000101
Palabra: 
 || Repeticiones: 26 || Binary code: 0000000110
Palabra: su || Repeticiones: 22 || Binary code: 0000000111
Palabra: que || Repeticiones: 22 || Binary code: 0000001000
Palabra: la || Repeticiones: 22 || Binary code: 0000001001
Palabra: a || Repeticiones: 22 || Binary code: 0000001010
Palabra: un || Repeticiones: 18 || Binary code: 0000001011
Palabra: en || Repeticiones: 17 || Binary code: 0000001100
Palabra: las || Repeticiones: 16 || Binary code: 0000001101
Palabra: se || Repeticiones: 15 || Binary code: 0000001110
Palabra: marcos || Repeticiones: 15 || Binary code: 0000001111
Palabra: con || Repeticiones: 15 || Binary code: 0000010000
Palabra: una || Repeticiones: 14 || Binary code: 0000010001
Palabra: del || Repeticiones: 10 || Binary code: 0000010010
Palabra: lo || Repeticiones: 9 || Binary code: 0000010011
Palabra: los || Repeticiones: 8 || Binary code: 0000010100
Palabra: por || Repeticiones: 7 || Binary code: 0000010101
Palabra: templo || Repeticiones: 7 || Binary code: 0000010110
Palabra: montanas || Repeticiones: 6 || Binary code: 0000010111
Palabra: mas || Repeticiones: 5 || Binary code: 0000011000
Palabra: sus || Repeticiones: 5 || Binary code: 0000011001
Palabra: habia || Repeticiones: 5 || Binary code: 0000011010
Palabra: hacia || Repeticiones: 5 || Binary code: 0000011011
Palabra: cristal || Repeticiones: 5 || Binary code: 0000011100
Palabra: pero || Repeticiones: 4 || Binary code: 0000011101
Palabra: era || Repeticiones: 4 || Binary code: 0000011110
Palabra: paso || Repeticiones: 4 || Binary code: 0000011111
Palabra: al || Repeticiones: 4 || Binary code: 0000100000
Palabra: cada || Repeticiones: 4 || Binary code: 0000100001
Palabra: trueno || Repeticiones: 4 || Binary code: 0000100010
