--------------------------LISTA v1 (orden de aparicion)--------------------------
Palabra: en || Repeticiones: 17 || Binary code: No hay binario asignado
Palabra:   || Repeticiones: 986 || Binary code: No hay binario asignado
Palabra: una || Repeticiones: 14 || Binary code: No hay binario asignado
Palabra: manana || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: fresca || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: de || Repeticiones: 52 || Binary code: No hay binario asignado
Palabra: primavera || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: , || Repeticiones: 76 || Binary code: No hay binario asignado
Palabra: cuando || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: el || Repeticiones: 39 || Binary code: No hay binario asignado
Palabra: sol || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: apenas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: asomaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: horizonte || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: joven || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: aventurero || Repeticiones: 3 || Binary code: No hay binario asignado
Palabra: llamado || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: marcos || Repeticiones: 15 || Binary code: No hay binario asignado
Palabra: desperto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: con || Repeticiones: 15 || Binary code: No hay binario asignado
Palabra: entusiasmo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: propio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: quien || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: sabe || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: que || Repeticiones: 22 || Binary code: No hay binario asignado
Palabra: le || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: espera || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: un || Repeticiones: 18 || Binary code: No hay binario asignado
Palabra: dia || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: lleno || Repeticiones: 3 || Binary code: No hay binario asignado
Palabra: emociones || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: . || Repeticiones: 65 || Binary code: No hay binario asignado
Palabra: la || Repeticiones: 22 || Binary code: No hay binario asignado
Palabra: brisa || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: suave || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: entraba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: por || Repeticiones: 7 || Binary code: No hay binario asignado
Palabra: ventana || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: abierta || Repeticiones: 1 || Binary code: No hay binario asignado
